证券代码,证券简称,实际控制人名称,实际控制人属性,公司中文名称,注册地址,省份,流通市值,统一社会信用代码
000597.SZ,东北制药,方威,个人,东北制药集团股份有限公司,辽宁省沈阳市经济技术开发区昆明湖街8号,辽宁省,"8,464,644,104.2000",91210100243490227Y
000692.SZ,惠天热电,沈阳市人民政府国有资产监督管理委员会,地方国资委,沈阳惠天热电股份有限公司,辽宁省沈阳市沈河区热闹路47号,辽宁省,"2,344,465,094.4000",912101002434901556
600609.SH,金杯汽车,辽宁省人民政府国有资产监督管理委员会,地方国资委,金杯汽车股份有限公司,辽宁省沈阳市沈河区万柳塘路38号,辽宁省,"6,700,234,851.3800",91210100243490067P
600715.SH,文投控股,北京市国有文化资产管理中心,地方国资委,文投控股股份有限公司,辽宁省沈阳市苏家屯区白松路22号,辽宁省,"4,785,522,030.0000",9121010024338220X5
603866.SH,桃李面包,"盛雅莉,吴学东,吴学亮,吴学群,吴志刚",个人,桃李面包股份有限公司,辽宁省沈阳市苏家屯区丁香街176号,辽宁省,"20,710,649,780.2500",91210100242588126L
300573.SZ,兴齐眼药,刘继东,个人,沈阳兴齐眼药股份有限公司,辽宁省沈阳市浑南区泗水街68号,辽宁省,"8,312,727,425.5200",912101001179988209
002731.SZ,萃华珠宝,郭英杰,个人,沈阳萃华金银珠宝股份有限公司,辽宁省沈阳市大东区北顺城路翠华巷72号,辽宁省,"3,235,250,280.0000",91210100117879506X
000633.SZ,合金投资,甘霖,个人,新疆合金投资股份有限公司,新疆维吾尔自治区和田市北京工业园区杭州大道2号电子产业园102室,新疆维吾尔自治区,"2,426,170,149.9000",91210100117812926M
002231.SZ,奥维通信,"单川,吴琼",个人,奥维通信股份有限公司,辽宁省沈阳市浑南新区高歌路6号,辽宁省,"2,188,623,607.2700",912101000016232858
601999.SH,出版传媒,辽宁省人民政府国有资产监督管理委员会,地方国资委,北方联合出版传媒(集团)股份有限公司,辽宁省沈阳市和平区十一纬路29号,辽宁省,"3,492,799,198.0000",91210000791577374P
300293.SZ,蓝英装备,郭洪生,个人,沈阳蓝英工业自动化装备股份有限公司,辽宁省沈阳市浑南产业区东区飞云路3号,辽宁省,"3,052,858,136.1300",912100007643721890
603609.SH,禾丰股份,金卫东,个人,禾丰食品股份有限公司,辽宁省沈阳市沈北新区辉山大街169号,辽宁省,"8,703,304,250.2400",9121000074712989XU
688739.SH,成大生物,辽宁省人民政府国有资产监督管理委员会,地方国资委,辽宁成大生物股份有限公司,辽宁省沈阳市浑南新区新放街1号,辽宁省,"25,736,610,000.0000",91210000738792171J
300024.SZ,机器人,中国科学院,中央国家机关,沈阳新松机器人自动化股份有限公司,辽宁省沈阳市浑南新区金辉街16号,辽宁省,"14,758,017,764.0000",91210000719642231W
600399.SH,抚顺特钢,沈文荣,个人,抚顺特殊钢股份有限公司,辽宁省抚顺市望花区鞍山路东段8号,辽宁省,"25,952,836,000.0000",9121000070181332XR
600241.SH,ST时万,辽宁省人民政府国有资产监督管理委员会,地方国资委,辽宁时代万恒股份有限公司,辽宁省大连市中山区港湾街7号,辽宁省,"2,419,163,385.3000",912100007017971122
002952.SZ,亚世光电,JIA JITAO,境外,亚世光电(集团)股份有限公司,辽宁省鞍山市立山区越岭路288号,辽宁省,"2,312,263,800.0000",91210000594843987K
000715.SZ,中兴商业,方威,个人,中兴-沈阳商业大厦(集团)股份有限公司,辽宁省沈阳市和平区太原北街86号,辽宁省,"2,053,651,563.6000",91210000243490294P
000585.SZ,*ST东电,海南省慈航公益基金会,其他,东北电气发展股份有限公司,海南省海口市南海大道266号海口国家高新区创业孵化中心A楼5层A1-1077室,海南省,"806,200,200.0000",91210000243437397T
000761.SZ,本钢板材,国务院国有资产监督管理委员会,国资委,本钢板材股份有限公司,辽宁省本溪市平山区人民路16号,辽宁省,"14,276,536,809.1500",91210000242690243E
000898.SZ,鞍钢股份,国务院国有资产监督管理委员会,国资委,鞍钢股份有限公司,辽宁省鞍山市铁西区鞍钢厂区,辽宁省,"28,449,670,405.5600",912100002426694799
000638.SZ,*ST万方,白山市江源区财政局,地方政府,万方城镇投资发展股份有限公司,吉林省白山市江源区江源大街30号,吉林省,"1,748,110,000.0000",91210000242666665H
002123.SZ,梦网科技,余文胜,个人,梦网云科技集团股份有限公司,辽宁省鞍山市立山区光仪路2号3号楼A栋(辽宁激光产业园光通讯工业园),辽宁省,"10,757,452,114.8000",91210000118887313L
600758.SH,辽宁能源,辽宁省人民政府国有资产监督管理委员会,地方国资委,辽宁能源煤电产业股份有限公司,辽宁省沈阳市沈河区青年大街110号2号楼5楼,辽宁省,"5,102,987,140.8400",9121000011759560XG
600739.SH,辽宁成大,辽宁省人民政府国有资产监督管理委员会,地方国资委,辽宁成大股份有限公司,辽宁省大连市人民路71号,辽宁省,"24,138,820,896.4800",91210000117590366A
600328.SH,中盐化工,国务院国有资产监督管理委员会,国资委,中盐内蒙古化工股份有限公司,内蒙古自治区阿拉善盟阿拉善经济开发区贺兰区,内蒙古自治区,"14,470,311,985.1200",91152900701463809K
000975.SZ,银泰黄金,沈国军,个人,银泰黄金股份有限公司,内蒙古自治区锡林郭勒盟西乌珠穆沁旗巴拉嘎尔高勒镇哈拉图街,内蒙古自治区,"24,990,500,385.0000",911525007116525588
001203.SZ,大中矿业,"安素梅,林来嵘",个人,内蒙古大中矿业股份有限公司,内蒙古自治区巴彦淖尔市乌拉特前旗小佘太书记沟,内蒙古自治区,"20,659,600,000.0000",91150800701444800H
600295.SH,鄂尔多斯,王林祥,个人,内蒙古鄂尔多斯资源股份有限公司,内蒙古自治区鄂尔多斯市东胜区罕台轻纺街1号,内蒙古自治区,"25,158,358,842.2400",911506006264022554
002128.SZ,电投能源,国务院国有资产监督管理委员会,国资委,内蒙古电投能源股份有限公司,内蒙古自治区霍林郭勒市哲里木大街(霍矿珠斯花区),内蒙古自治区,"29,303,995,768.2500",911505007332663405
601216.SH,君正集团,杜江涛,个人,内蒙古君正能源化工集团股份有限公司,内蒙古自治区乌海市乌达工业园区,内蒙古自治区,"39,658,681,733.0000",9115030074389683XQ
600262.SH,北方股份,国务院国有资产监督管理委员会,国资委,内蒙古北方重型汽车股份有限公司,内蒙古自治区包头市稀土高新技术产业开发区,内蒙古自治区,"3,296,300,000.0000",911502006264414226
836433.BJ,大唐药业,郝艳涛,个人,内蒙古大唐药业股份有限公司,内蒙古自治区呼和浩特市如意开发区,内蒙古自治区,"1,111,281,847.6500",91150100701208517U
300049.SZ,福瑞股份,王冠一,个人,内蒙古福瑞医疗科技股份有限公司,内蒙古自治区乌兰察布市集宁区解放路103号,内蒙古自治区,"3,385,493,397.0000",91150000733284733B
600967.SH,内蒙一机,国务院国有资产监督管理委员会,国资委,内蒙古第一机械集团股份有限公司,内蒙古自治区包头市青山区民主路,内蒙古自治区,"16,701,667,806.6000",91150000720180740Y
300355.SZ,蒙草生态,王召明,个人,蒙草生态环境(集团)股份有限公司,内蒙古自治区呼和浩特市盛乐经济园区盛乐五街南侧,内蒙古自治区,"7,668,277,147.1800",91150000720133450X
600988.SH,赤峰黄金,李金阳,个人,赤峰吉隆黄金矿业股份有限公司,内蒙古自治区赤峰市敖汉旗四道湾子镇富民村,内蒙古自治区,"29,684,178,983.5200",91150000708204391F
600010.SH,包钢股份,内蒙古自治区人民政府,地方政府,内蒙古包钢钢联股份有限公司,内蒙古自治区包头市昆区河西工业区,内蒙古自治区,"105,301,425,416.8800",911500007014649754
603230.SH,内蒙新华,内蒙古自治区人民政府,地方政府,内蒙古新华发行集团股份有限公司,内蒙古自治区呼和浩特市新华大街56号1号办公楼4层1号,内蒙古自治区,"5,278,098,390.0000",911500007014648448
600291.SH,*ST西水,肖卫华,个人,内蒙古西水创业股份有限公司,内蒙古自治区乌海市,内蒙古自治区,"4,809,483,263.2000",911500007014638920
600111.SH,北方稀土,内蒙古自治区人民政府,地方政府,中国北方稀土(集团)高科技股份有限公司,内蒙古自治区包头市稀土高新技术产业开发区黄河大街83号,内蒙古自治区,"146,158,245,180.0000",91150000701463622D
600277.SH,亿利洁能,王文彪,个人,亿利洁能股份有限公司,内蒙古自治区鄂尔多斯市东胜区鄂尔多斯西街亿利大厦二层30号,内蒙古自治区,"25,280,417,577.4000",911500007014628574
600191.SH,*ST华资,肖卫华,个人,包头华资实业股份有限公司,内蒙古自治区包头市国家稀土高新技术产业开发区南路,内蒙古自治区,"2,124,002,160.0000",91150000701462216T
300239.SZ,东宝生物,"王爱国,徐波",个人,包头东宝生物技术股份有限公司,内蒙古自治区包头市稀土高新技术产业开发区黄河大街46号,内蒙古自治区,"3,389,473,032.9300",911500006032671859
000426.SZ,兴业矿业,吉兴业,个人,内蒙古兴业矿业股份有限公司,"内蒙古自治区赤峰市新城区八家组团玉龙大街路北,天义路西兴业集团办公楼",内蒙古自治区,"14,991,488,507.0400",91150000114802589Q
002688.SZ,金河生物,"路漫漫,路牡丹,王东晓,王晓英,王志军",个人,金河生物科技股份有限公司,内蒙古自治区呼和浩特市托克托县新坪路71号,内蒙古自治区,"4,097,217,589.5000",91150000114368372K
600201.SH,生物股份,,,金宇生物技术股份有限公司,内蒙古自治区呼和浩特市经济技术开发区沙尔沁工业园区金宇大街1号,内蒙古自治区,"13,998,693,855.6300",911500001141618816
600091.SH,*ST明科,肖卫华,个人,包头明天科技股份有限公司,内蒙古自治区包头市稀土高新技术产业开发区曙光路22号,内蒙古自治区,"734,853,040.3200",91150000114124810J
600887.SH,伊利股份,,,内蒙古伊利实业集团股份有限公司,内蒙古自治区呼和浩特市金山开发区金山大街1号,内蒙古自治区,"238,468,878,004.6800",91150000114124263Y
000683.SZ,远兴能源,戴连荣,个人,内蒙古远兴能源股份有限公司,内蒙古自治区鄂尔多斯市东胜区鄂托克西街博源大厦12层,内蒙古自治区,"34,272,939,184.8000",91150000114124036R
